,Text,Star,Compound Value,Cleaned_Text
221,I don't like grouping of cards. I switched it off with the flags but it turns itself on again. Let me decide for myself what I like.,1,0.6124,i don t like grouping of cards  i switched it off with the flags but it turns itself on again  let me decide for myself what i like 
222,Its not updating....i try 1000 times...help,1,0.4019,its not updating    i try 1000 times   help
223,New update is super annoying with recent tabs. Please give an option for both. A tab within a tab? Tabception. Uninstalling and getting the old version. This is garbage and not user friendly in the least bit. Amazing that a multi billion dollar company put this out,1,0.688,new update is super annoying with recent tabs  please give an option for both  a tab within a tab  tabception  uninstalling and getting the old version  this is garbage and not user friendly in the least bit  amazing that a multi billion dollar company put this out
224,Nice,1,0.4215,nice
225,Releasing date update show date is different (ex - 4 February release but play store show 10 February ) very 😠😡😡,1,0.4767,releasing date update show date is different  ex     february release but play store show 10 february   very    
226,Won't update/download last few days,1,0.5719,won t update download last few days
227,I am unable to update the chrome kindly look into it and help me sorting out this,1,0.7096,i am unable to update the chrome kindly look into it and help me sorting out this
228,Not liking this application at all it won't update been trying for the last couple of months to update it and it won't probably going to find something else,1,0.7304,not liking this application at all it won t update been trying for the last couple of months to update it and it won t probably going to find something else
229,This app not updating on my phone. So tell me that how I am updating this app .. Thanks,1,0.4404,this app not updating on my phone  so tell me that how i am updating this app    thanks
230,Won't update.,1,0.5719,won t update 
231,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1,0.5499,thise app good and i love it but i gave 1star because when i download any movie it take many time 
232,Takes 5 ever but it's having help right L S,1,0.8201,takes   ever but it s having help right l s
233,"New update, but won't let me update",1,0.7227,new update  but won t let me update
234,Super,1,0.5994,super
235,If I update a chrome its updated but I open and use chrome it asking me to update but I updated the chrome I using chrome in samsung tablet version 4.1.2 please solve my issue please my tab samsung tab 3,1,0.7964,if i update a chrome its updated but i open and use chrome it asking me to update but i updated the chrome i using chrome in samsung tablet version   1   please solve my issue please my tab samsung tab  
236,good,1,0.4404,good
237,Always freezes and I don't support those who need with free speech,1,0.7096,always freezes and i don t support those who need with free speech
238,Bilkul bakar ha apps bhout jaldi ya apps hank karne lagta ha aoor ubdate Kar rha hu to ubdate bhi nhi ho rha ha,1,0.7351,bilkul bakar ha apps bhout jaldi ya apps hank karne lagta ha aoor ubdate kar rha hu to ubdate bhi nhi ho rha ha
239,Nice app for us guys 2,1,0.4215,nice app for us guys  
240,I might have given it a higher rating but it won't install so for now I will live with the update needed notification,1,0.7227,i might have given it a higher rating but it won t install so for now i will live with the update needed notification
241,Very useful for me keep using guys good app !!!,1,0.7264,very useful for me keep using guys good app    
242,Keep saying update but won't,1,0.7227,keep saying update but won t
243,Better,1,0.4404,better
244,It is very nice application the application developer unless you delete them,1,0.4754,it is very nice application the application developer unless you delete them
245,"This was good but the newest update makes way harder to navigate. By like why did you remove the ""open in new tab"" it was so useful and now these groups make it harder to browse.",1,0.8837,this was good but the newest update makes way harder to navigate  by like why did you remove the  open in new tab  it was so useful and now these groups make it harder to browse 
246,Not working. Worst update for mobile devices,1,0.5096,not working  worst update for mobile devices
247,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1,0.7964,thanks best western union bank ltd for you and broth and jell o salad for lunch tomorrow
248,Good,1,0.4404,good
249,"I don't like how the tab screen is organized with the new update. I don't like how it's a double column compared to the previous one column and when I rotate the screen to see if it does go back to one, I come across having three columns. I don't like that it forces you to make a new tab that you open into a group that in order to get rid of you have to go to the tab screen and manually do it yourself. When you do undo it, you loose the new tab in all your other tabs.",1,0.6369,i don t like how the tab screen is organized with the new update  i don t like how it s a double column compared to the previous one column and when i rotate the screen to see if it does go back to one  i come across having three columns  i don t like that it forces you to make a new tab that you open into a group that in order to get rid of you have to go to the tab screen and manually do it yourself  when you do undo it  you loose the new tab in all your other tabs 
250,Chrome won't update . 🤬,1,0.5719,chrome won t update    
251,"I don't like the grouping feature. If I want to open a link from a pre-existing tab the only options I get is to group the tab or open in incognito. The little tab at the bottom that pops up if you do decide to group your tabs is also annoying, as I don't like it when things take up space. Please fix, thanks.",1,0.7783,i don t like the grouping feature  if i want to open a link from a pre existing tab the only options i get is to group the tab or open in incognito  the little tab at the bottom that pops up if you do decide to group your tabs is also annoying  as i don t like it when things take up space  please fix  thanks 
252,Card view was much better! I definitely need it to be returned,1,0.6808,card view was much better  i definitely need it to be returned
253,I can't update it plz help me out,1,0.4588,i can t update it plz help me out
254,I can't able to update my Google chrome please I need help asap,1,0.6124,i can t able to update my google chrome please i need help asap
255,Very good,1,0.4927,very good
256,You sent me a corrupt email by linking it to my new third phone and I lost my internet. Can't make calls. It's dropping calls more now so I know I am about to loss another phone. I have repeatedly asked you for help. Erasing my email won't fix it either. Because I have tried. I have bought three phones only to have you send me link to to a hacker. Plus they got into my bank. Thanks.,1,0.6908,you sent me a corrupt email by linking it to my new third phone and i lost my internet  can t make calls  it s dropping calls more now so i know i am about to loss another phone  i have repeatedly asked you for help  erasing my email won t fix it either  because i have tried  i have bought three phones only to have you send me link to to a hacker  plus they got into my bank  thanks 
257,Good,1,0.4404,good
258,Won't update,1,0.5719,won t update
259,Won't updating why?,1,0.5719,won t updating why 
260,Previous version was much better,1,0.4404,previous version was much better
261,App won't update,1,0.5719,app won t update
262,"Won't UPDATE, WHY NOT???",1,0.5719,won t update  why not   
263,good,1,0.4404,good
264,I have looked out on my phone as a security I came with the phone and it came up and gave me a red flag saying that Chrome is a vulnerability fix immediately it's the only one that said that about so I'm deleting my Chrome I'm using brave now,1,0.5994,i have looked out on my phone as a security i came with the phone and it came up and gave me a red flag saying that chrome is a vulnerability fix immediately it s the only one that said that about so i m deleting my chrome i m using brave now
265,Man o man am I ever glad I didn't update this app . After reading the reviews I have realized it would not be a good idea to update it. So for now I'm going to stick with the previous version. One would assume that the smart people at Google would do a bit more research before fixing something that isn't broke. For the most part Google has been pretty good for me so I hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none,1,0.9282,man o man am i ever glad i didn t update this app   after reading the reviews i have realized it would not be a good idea to update it  so for now i m going to stick with the previous version  one would assume that the smart people at google would do a bit more research before fixing something that isn t broke  for the most part google has been pretty good for me so i hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none
266,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,0.4754,very nice                 you have you
267,"I don't know why there is a need to update a thing that's worling totally fine. I am on a tablet and the chrome works really bad after the update. I got a tip for those who *accidently* updated chrome. Uninstall it and then don't update again And for the people with pc browser, use Brave browser, it is really nice working browser better than chrome nowadays. (No promo) And this is for the devs,🖕",1,0.6697,i don t know why there is a need to update a thing that s worling totally fine  i am on a tablet and the chrome works really bad after the update  i got a tip for those who  accidently  updated chrome  uninstall it and then don t update again and for the people with pc browser  use brave browser  it is really nice working browser better than chrome nowadays   no promo  and this is for the devs  
268,Whoever approved the new UI changes definitely forgot to check UX. 0 rating on the New UX.,1,0.6705,whoever approved the new ui changes definitely forgot to check ux  0 rating on the new ux 
269,Google is always safe,1,0.4404,google is always safe
270,It won't update,1,0.5719,it won t update
271,"Worked just as desired until the update that forced tab groups. I don't want or need groups, so please give us the option of doing this instead of forcing it on us. At least give me the option to open a link into the same tab group. Why does it only give the option to open in a new group?! Google chrome? More like Google fail. Looks like it's back to Firefox until this gets resolved again.",1,0.5604,worked just as desired until the update that forced tab groups  i don t want or need groups  so please give us the option of doing this instead of forcing it on us  at least give me the option to open a link into the same tab group  why does it only give the option to open in a new group   google chrome  more like google fail  looks like it s back to firefox until this gets resolved again 
272,I am unable to update it ..tried many times but same result .kindly help me out,1,0.8338,i am unable to update it   tried many times but same result  kindly help me out
273,"Buggy as of Feb 2021. Many sites don't work or the app freezes. Took away desktop mode before you ask for a web page when adding a new tab so sites send you to Google play store and they don't give you a chance to use them in desktop mode, New bugs especially in page organizing functions. If they fix all the recent bugs created in the past 2 months & had the ability to save websites to view later or open in the background like Firefox it would get 5 stars",1,0.9062,buggy as of feb  0 1  many sites don t work or the app freezes  took away desktop mode before you ask for a web page when adding a new tab so sites send you to google play store and they don t give you a chance to use them in desktop mode  new bugs especially in page organizing functions  if they fix all the recent bugs created in the past   months   had the ability to save websites to view later or open in the background like firefox it would get   stars
274,"Grouped tabs on a phone, I love having to squint to see what used to be easy to flip between. And no way to turn it off.",1,0.7096,grouped tabs on a phone  i love having to squint to see what used to be easy to flip between  and no way to turn it off 
275,My app has simply refused to update. I press the update button and it does nothing . So I guess injyst disable and use a different browser? Very sad because I live Chrome. But I've been unable to update for the past 4 devices.. what gives? Please help. Thanks,1,0.8202,my app has simply refused to update  i press the update button and it does nothing   so i guess injyst disable and use a different browser  very sad because i live chrome  but i ve been unable to update for the past   devices   what gives  please help  thanks
276,It keeps telling me I have an update but will not update no matter how many times I try and it is messing with my phone. Please fix this.,1,0.4646,it keeps telling me i have an update but will not update no matter how many times i try and it is messing with my phone  please fix this 
277,Absolutely nothing loads. I lost everything I was searching for and had saved. It force quits whenever I open it. I tried uninstalling the update and restarting and it's still garbage.,1,0.5806,absolutely nothing loads  i lost everything i was searching for and had saved  it force quits whenever i open it  i tried uninstalling the update and restarting and it s still garbage 
278,The update won't download to install despite several attempts with phone rebooting between attempts.,1,0.5719,the update won t download to install despite several attempts with phone rebooting between attempts 
279,"Nevermind my issue was not fixed with recent update; still reloads last page after starting a new search. The change to the tabs section is what's preventing 5, stars, like grouped tabs, are people gonna open like 6 groups of 10 tabs each with a different category? I just wish I could switch that back it's just useless and annoying but looks like I gotta switch browsers instead 🤷 opera here I come least there I don't have to see celebrity gossip labeled as ""news""",1,0.4118,nevermind my issue was not fixed with recent update  still reloads last page after starting a new search  the change to the tabs section is what s preventing    stars  like grouped tabs  are people gonna open like   groups of 10 tabs each with a different category  i just wish i could switch that back it s just useless and annoying but looks like i gotta switch browsers instead   opera here i come least there i don t have to see celebrity gossip labeled as  news 
280,Won't update on my note 10+ 5g,1,0.5719,won t update on my note 10   g
281,Went from amazing to garbage. After the last update it will no longer refresh or load any relevant news. Just a few repetitive junk news articles. Please fix this garbage update.,1,0.4404,went from amazing to garbage  after the last update it will no longer refresh or load any relevant news  just a few repetitive junk news articles  please fix this garbage update 
282,"Get rid of the tabs! Looks like the people at Google who design the GUI for the Chrome browser have never heard the saying, ""If it ain't broke don't fix it."" I was just fine with a list of tabs to flip through like it used to be up till a few days ago. I don't need mini views of each open page to remind me what I've been doing - I'm not an idiot - and I definitely don't need a piece of my screen real estate taken over to show me what tabs belong to the group. This is a ""feature"" no one needs.",1,0.7353,get rid of the tabs  looks like the people at google who design the gui for the chrome browser have never heard the saying   if it ain t broke don t fix it   i was just fine with a list of tabs to flip through like it used to be up till a few days ago  i don t need mini views of each open page to remind me what i ve been doing   i m not an idiot   and i definitely don t need a piece of my screen real estate taken over to show me what tabs belong to the group  this is a  feature  no one needs 
283,Nice app,1,0.4215,nice app
284,"Cannot update chrome, it just won't let me",1,0.5719,cannot update chrome  it just won t let me
285,I couldn't able to update my chrome from past 1 year.. please help,1,0.6124,i couldn t able to update my chrome from past 1 year   please help
286,Can't even update it what a lol kind of app!!,1,0.4215,can t even update it what a lol kind of app  
287,It won't allow me to update the app.....Why?,1,0.6808,it won t allow me to update the app     why 
288,Help,1,0.4019,help
289,Wont even install. Has been trying to install for days and continuously freezes. Pretty dissapointing.,1,0.4767,wont even install  has been trying to install for days and continuously freezes  pretty dissapointing 
290,Please add dark mode like samsung browser,1,0.5859,please add dark mode like samsung browser
291,"How to disable tab groups: Open Chrome Type, ""chrome://flags/"" Search, ""Tab Groups"" Disable results. Profit.",1,0.4404,how to disable tab groups  open chrome type   chrome   flags   search   tab groups  disable results  profit 
292,Awesome,1,0.6249,awesome
293,It won't load. ://,1,0.5719,it won t load     
294,This version is not getting updated on this Honor 10 device.,1,0.5789,this version is not getting updated on this honor 10 device 
295,Nice,1,0.4215,nice
296,"The recent update made it rubbish, I switched to another browser , but still have chrome in mobile either fix it or users like me will uninstall it",1,0.5023,the recent update made it rubbish  i switched to another browser   but still have chrome in mobile either fix it or users like me will uninstall it
297,Chrome is not update option so please tell me,1,0.4572,chrome is not update option so please tell me
298,Need improvement,1,0.4588,need improvement
299,Nice,1,0.4215,nice
300,"I specifically remember asking Google for help due to my information being stolen and I asked for a"" security key "" I ended up using the one that is built in to the phone, however when I had to factory so now I cannot get it to my Google account and reset it, I guess I reset the security key too ALL OF MY PERSONAL DATA AND INFORMATION IS IN THE ACCOUNT,, MY NAME AND SOCIAL SECURITY NUMBER ARE FLAGGED FOR IDENTITY THEFT, I'M SAYING THAT I WILL File a claim against Google ,",1,0.7184,i specifically remember asking google for help due to my information being stolen and i asked for a  security key   i ended up using the one that is built in to the phone  however when i had to factory so now i cannot get it to my google account and reset it  i guess i reset the security key too all of my personal data and information is in the account   my name and social security number are flagged for identity theft  i m saying that i will file a claim against google  
301,Heart of 6 mobile,1,0.6369,heart of   mobile
302,The app was working great until this recent update. It gets crashing nd the screen stops working in between while using this app. Google should look into it and resolve this ASAP. Not expected this kind of update from Google,1,0.7269,the app was working great until this recent update  it gets crashing nd the screen stops working in between while using this app  google should look into it and resolve this asap  not expected this kind of update from google
303,Ever since I got a notification about updating Chrome I push the update button trying to update it but it won't update anyone else having that problem like come on,1,0.6956,ever since i got a notification about updating chrome i push the update button trying to update it but it won t update anyone else having that problem like come on
304,"App won't update I clicked the update button and it goes to cancel.. n a month latter, it still won't update",1,0.7506,app won t update i clicked the update button and it goes to cancel   n a month latter  it still won t update
305,Good,1,0.4404,good
306,Good app,1,0.4404,good app
307,Its good,1,0.4404,its good
308,Won't update at all....I've tried all sorts of things and it just won't do it.,1,0.8126,won t update at all    i ve tried all sorts of things and it just won t do it 
309,Its stalled! Won't update!,1,0.4404,its stalled  won t update 
310,"Chrome is good, I trust this update will make it better.",1,0.8442,chrome is good  i trust this update will make it better 
